protein2,i_redundancy,i_synergy,count_redundancy,count_synergy,i_sum,count_sum,synergy_score,synergy_fraction,independent_count,cooperative_count,total_count,independence_score
DDIT3::CEBPA,0.0,3.27,0.0,18.0,3.27,18.0,1.0,1.0,886.0,18.0,904.0,0.9800884955752213
E2F1,-25.529999999999998,21.88,148.0,86.0,47.41,234.0,0.46150601139000214,0.36752136752136755,578.0,234.0,812.0,0.7118226600985221
E2F2,-15.65,25.5,106.0,112.0,41.15,218.0,0.6196840826245443,0.5137614678899083,540.0,218.0,758.0,0.712401055408971
E2F3,-17.9,24.67,104.0,106.0,42.57,210.0,0.5795160911439982,0.5047619047619047,565.0,210.0,775.0,0.7290322580645161
E2F4,-25.41,16.05,146.0,73.0,41.46,219.0,0.3871201157742402,0.3333333333333333,578.0,219.0,797.0,0.7252195734002509
E2F6,-133.47,64.34,711.0,399.0,197.81,1110.0,0.32526161468075426,0.35945945945945945,9811.0,1110.0,10921.0,0.8983609559564143
E2F7,-15.32,21.15,104.0,89.0,36.47,193.0,0.5799287085275568,0.46113989637305697,1835.0,193.0,2028.0,0.9048323471400395
E2F8,-17.79,23.73,110.0,101.0,41.519999999999996,211.0,0.5715317919075145,0.4786729857819905,1383.0,211.0,1594.0,0.8676286072772899
EGR1,-911.32,304.73,4637.0,1857.0,1216.0500000000002,6494.0,0.25059002508120554,0.2859562673236834,23731.0,6494.0,30225.0,0.7851447477253929
EHF,-334.83,313.35,1664.0,1566.0,648.1800000000001,3230.0,0.48343052855688234,0.4848297213622291,8701.0,3230.0,11931.0,0.729276674210041
ELF1,-396.21999999999997,371.95,1883.0,1794.0,768.17,3677.0,0.4842027155447362,0.4878977427250476,9312.0,3677.0,12989.0,0.7169143121102471
ELF2,-568.38,203.16,2411.0,833.0,771.54,3244.0,0.2633175208025508,0.2567817509247842,2523.0,3244.0,5767.0,0.43748916247615743
ELF3,-216.5,235.72,1237.0,1249.0,452.22,2486.0,0.5212507186767502,0.502413515687852,8425.0,2486.0,10911.0,0.772156539272294
ELF4,-658.82,213.3,2736.0,872.0,872.1200000000001,3608.0,0.2445764344356281,0.24168514412416853,2889.0,3608.0,6497.0,0.44466676927812837
ELF5,-44.33,74.73,264.0,396.0,119.06,660.0,0.6276667226608433,0.6,5660.0,660.0,6320.0,0.8955696202531646
ELK1,-963.5,240.65,3792.0,1021.0,1204.15,4813.0,0.1998505169621725,0.2121338042800748,2846.0,4813.0,7659.0,0.37158898028463244
ELK1::SREBF2,-511.14,126.26,1932.0,571.0,637.4,2503.0,0.1980859742704738,0.22812624850179783,1953.0,2503.0,4456.0,0.4382854578096948
ELK3,-1002.13,263.23,3895.0,1112.0,1265.3600000000001,5007.0,0.20802775494720868,0.22208907529458757,3189.0,5007.0,8196.0,0.3890922401171303
