protein2,i_redundancy,i_synergy,count_redundancy,count_synergy,i_sum,count_sum,synergy_score,synergy_fraction,independent_count,cooperative_count,total_count,independence_score
ERF::SREBF2,-149.7,71.01,673.0,375.0,220.70999999999998,1048.0,0.32173440260975944,0.35782442748091603,1425.0,1048.0,2473.0,0.5762232106752931
ERG,-414.22,652.18,2269.0,3153.0,1066.4,5422.0,0.6115716429107276,0.5815197344153449,13643.0,5422.0,19065.0,0.7156045108838185
ESR1,-1.34,24.13,9.0,108.0,25.47,117.0,0.9473890851982725,0.9230769230769231,3917.0,117.0,4034.0,0.9709965294992563
ESR2,-7.13,11.15,48.0,71.0,18.28,119.0,0.6099562363238512,0.5966386554621849,5505.0,119.0,5624.0,0.9788406827880513
ESRRA,-3.68,21.71,19.0,134.0,25.39,153.0,0.8550610476565577,0.8758169934640523,5009.0,153.0,5162.0,0.9703603254552499
ESRRB,-0.33999999999999997,6.12,3.0,43.0,6.46,46.0,0.9473684210526316,0.9347826086956522,4314.0,46.0,4360.0,0.9894495412844037
ETS1,-482.37,193.81,2110.0,823.0,676.1800000000001,2933.0,0.28662486320210595,0.280600068189567,1868.0,2933.0,4801.0,0.38908560716517393
ETS2,-486.53000000000003,216.46,2262.0,942.0,702.99,3204.0,0.30791334158380634,0.2940074906367041,2144.0,3204.0,5348.0,0.40089753178758414
ETV1,-343.37,603.2,1940.0,2877.0,946.57,4817.0,0.6372481697074701,0.597259705210712,13232.0,4817.0,18049.0,0.733115408055848
ETV2,-288.28000000000003,146.58,1302.0,623.0,434.86,1925.0,0.33707400082785266,0.3236363636363636,1516.0,1925.0,3441.0,0.44056960185992444
ETV3,-677.65,277.78,3064.0,1168.0,955.43,4232.0,0.29073820164742575,0.27599243856332706,2571.0,4232.0,6803.0,0.37792150521828605
ETV4,-749.19,340.23,3351.0,1437.0,1089.42,4788.0,0.31230379467973785,0.300125313283208,2745.0,4788.0,7533.0,0.3643966547192354
ETV5,-731.68,338.64,3305.0,1430.0,1070.32,4735.0,0.31639135959339265,0.3020063357972545,2674.0,4735.0,7409.0,0.36091240383317585
ETV5::FOXO1,-60.36,133.08,375.0,743.0,193.44,1118.0,0.6879652605459058,0.6645796064400715,6752.0,1118.0,7870.0,0.8579415501905973
